,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  3,Feature  3,Feature  3
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
2110,0.8235294117647058,0.8823529411764706,molArea,nof_HBA,Complexity
2202,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SH
2170,0.8235294117647058,0.8529411764705882,molArea,nof_Rings,Complexity
2204,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_COOH
2195,0.7352941176470589,0.8529411764705882,molArea,Complexity,C_sp3
3822,0.8529411764705882,0.8529411764705882,nof_Rings,Complexity,a_heavy
2131,0.8235294117647058,0.8529411764705882,molArea,nof_HBD,Complexity
2196,0.8529411764705882,0.8529411764705882,molArea,Complexity,posCharge/Volume
2193,0.7941176470588235,0.8529411764705882,molArea,Complexity,C_R1
2205,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_OH
2192,0.8235294117647058,0.8529411764705882,molArea,Complexity,C_R2
121,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity
2065,0.7941176470588235,0.8529411764705882,molArea,nof_Atoms,Complexity
2200,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_PO4
2194,0.7647058823529411,0.8529411764705882,molArea,Complexity,C_R0
2151,0.7941176470588235,0.8529411764705882,molArea,molCharge_total,Complexity
2189,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_posCharge
2203,0.7647058823529411,0.8529411764705882,molArea,Complexity,nof_NH2
2190,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_negCharge
2206,0.7352941176470589,0.8529411764705882,molArea,Complexity,nof_acetyl
2198,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_RotB
2088,0.8235294117647058,0.8529411764705882,molArea,nof_Chirals,Complexity
556,0.7941176470588235,0.8529411764705882,molVolume,molArea,Complexity
3251,0.7647058823529411,0.8529411764705882,nof_HBA,Complexity,a_heavy
2197,0.7941176470588235,0.8529411764705882,molArea,Complexity,negCharge/Volume
2191,0.8235294117647058,0.8529411764705882,molArea,Complexity,a_heavy
2201,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SO3H
2199,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_Fragments
1315,0.7352941176470589,0.8235294117647058,molLogS,molPSA,nof_posCharge
236,0.7941176470588235,0.8235294117647058,molWeight,nof_HBD,Complexity
1332,0.5882352941176471,0.8235294117647058,molLogS,molPSA,nof_acetyl
4934,0.7647058823529411,0.8235294117647058,nof_PO4,nof_NH2,nof_COOH
1331,0.6470588235294118,0.8235294117647058,molLogS,molPSA,nof_OH
1330,0.7647058823529411,0.8235294117647058,molLogS,molPSA,nof_COOH
962,0.7941176470588235,0.8235294117647058,molLogP,molArea,Complexity
1691,0.7352941176470589,0.8235294117647058,molPSA,molArea,Complexity
1329,0.6764705882352942,0.8235294117647058,molLogS,molPSA,nof_NH2
1323,0.8235294117647058,0.8235294117647058,molLogS,molPSA,negCharge/Volume
1317,0.7058823529411765,0.8235294117647058,molLogS,molPSA,a_heavy
1318,0.7941176470588235,0.8235294117647058,molLogS,molPSA,C_R2
1313,0.7647058823529411,0.8235294117647058,molLogS,molPSA,nof_Rings
1312,0.8529411764705882,0.8235294117647058,molLogS,molPSA,molCharge_total
1311,0.7352941176470589,0.8235294117647058,molLogS,molPSA,nof_HBD
1319,0.7647058823529411,0.8235294117647058,molLogS,molPSA,C_R1
1309,0.7352941176470589,0.8235294117647058,molLogS,molPSA,nof_Chirals
1321,0.7352941176470589,0.8235294117647058,molLogS,molPSA,C_sp3
1322,0.7352941176470589,0.8235294117647058,molLogS,molPSA,posCharge/Volume
1324,0.7352941176470589,0.8235294117647058,molLogS,molPSA,nof_RotB
4590,0.7058823529411765,0.8235294117647058,C_R2,nof_NH2,nof_COOH
1325,0.7941176470588235,0.8235294117647058,molLogS,molPSA,nof_Fragments
650,0.7352941176470589,0.8235294117647058,molVolume,nof_HBA,Complexity
1326,0.6176470588235294,0.8235294117647058,molLogS,molPSA,nof_PO4
170,0.7352941176470589,0.8235294117647058,molWeight,nof_Atoms,Complexity
2068,0.7941176470588235,0.8235294117647058,molArea,nof_Atoms,a_heavy
1327,0.6470588235294118,0.8235294117647058,molLogS,molPSA,nof_SO3H
2749,0.7941176470588235,0.8235294117647058,nof_Atoms,nof_Rings,a_heavy
3598,0.6176470588235294,0.8235294117647058,nof_HBD,nof_RotB,nof_NH2
1328,0.6470588235294118,0.8235294117647058,molLogS,molPSA,nof_SH
3595,0.6176470588235294,0.8235294117647058,nof_HBD,nof_RotB,nof_PO4
1316,0.8529411764705882,0.8235294117647058,molLogS,molPSA,nof_negCharge
4274,0.7058823529411765,0.8235294117647058,nof_posCharge,nof_NH2,nof_COOH
302,0.7647058823529411,0.8235294117647058,molWeight,Complexity,negCharge/Volume
275,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity
